Time (s),Pressure (PSI),Temperature (°C),Flow Rate (L/min),Valve State,Alert Status
315,61.76830042728831,30.416951143451914,13.407612198080889,OPEN,HIGH PRESSURE
320,66.68573434468945,30.134482371975984,10.827201601395485,OPEN,HIGH PRESSURE
325,44.73696711562363,27.823197045914466,12.71281317496854,HOLD,NORMAL
330,32.80183205730511,22.911806803627318,10.412020214257097,CLOSE,LOW PRESSURE
335,35.4068393559055,24.114093740594566,11.745342293923517,CLOSE,LOW PRESSURE
340,48.80718294050304,28.695789908249665,11.4656236090246,HOLD,NORMAL
345,57.08355217978931,28.92624463863146,11.935376484937498,HOLD,NORMAL
350,54.8006839221654,26.37395462192051,14.564986686284016,HOLD,NORMAL
355,43.88390837092822,29.747348889513727,10.742033382721333,HOLD,NORMAL
360,38.20186749556912,27.112322168946697,13.984063419724226,CLOSE,LOW PRESSURE
365,24.729352118145258,26.01120736549236,8.070068182517403,CLOSE,LOW PRESSURE
370,31.726171350057687,26.770238431574516,10.824719498240315,CLOSE,LOW PRESSURE
375,32.98811590714808,28.070482644245452,12.814446240463539,CLOSE,LOW PRESSURE
380,63.806879421138724,27.138594347799856,17.970606535396573,OPEN,HIGH PRESSURE
385,32.66836597733082,23.50662274652542,12.811283588815598,CLOSE,LOW PRESSURE
390,34.42971790162766,26.84505814290691,11.546351206761637,CLOSE,LOW PRESSURE
395,66.84531395002776,31.692229358480475,14.089455918833325,OPEN,HIGH PRESSURE
400,31.75669456158203,27.778582458742378,10.917193615538672,CLOSE,LOW PRESSURE
405,32.404349725347714,27.517158464272228,9.373773953986143,CLOSE,LOW PRESSURE
410,45.018883942766514,26.67136463618632,10.764375759618014,HOLD,NORMAL
415,34.71024001491235,29.76715704425428,9.57069847427994,CLOSE,LOW PRESSURE
420,34.464619634079796,26.36123040039365,12.702174099137327,CLOSE,LOW PRESSURE
425,37.80737981388121,24.757290848843525,5.722426920592321,CLOSE,LOW PRESSURE
430,27.125703275895944,28.736602996703976,9.059901131679439,CLOSE,LOW PRESSURE
435,34.923655465191324,24.65069471835524,9.683086085274466,CLOSE,LOW PRESSURE
440,53.40765334668064,28.62893523038806,9.409521031061454,HOLD,NORMAL
445,43.19107186741786,27.266525010908346,17.360832735417233,HOLD,NORMAL
450,38.09685845837002,27.545648815809944,12.782649823366095,CLOSE,LOW PRESSURE
455,36.0453664561181,26.28313865475235,10.255442798493132,CLOSE,LOW PRESSURE
460,41.60308527166425,30.8391401071325,10.268774912015063,HOLD,NORMAL
465,40.944493843887784,26.647502148428792,9.661744901485942,CLOSE,LOW PRESSURE
470,42.74464807749152,29.89430982749219,9.415676536500825,CLOSE,LOW PRESSURE
475,44.16160418943569,30.164233454156278,12.416655583988732,HOLD,NORMAL
480,66.08276268784171,29.150016138286684,17.916295278703185,OPEN,HIGH PRESSURE
485,36.47429065917642,27.183040101242685,10.650754853325894,CLOSE,LOW PRESSURE
490,48.49799545581807,29.231397228832915,12.092052820396733,HOLD,NORMAL
495,60.4847770919593,29.573266862013966,11.379977806300552,OPEN,HIGH PRESSURE
500,56.043981081802166,28.702702504284606,13.174256935188268,HOLD,NORMAL
505,45.81367772603722,25.499136424388052,12.30633272180007,HOLD,NORMAL
510,36.261674262513495,23.849535574815093,9.629884871201066,CLOSE,LOW PRESSURE
515,44.5569470304547,27.955506428400337,9.943965937769024,HOLD,NORMAL
520,32.31082357484378,27.280667690880016,9.607700073569392,CLOSE,LOW PRESSURE
525,35.85360185467405,28.063872266291533,10.908324173372586,CLOSE,LOW PRESSURE
530,39.518157231853145,29.91806990269459,13.741522021459792,HOLD,NORMAL
535,67.15031357174323,28.02337219988041,12.900588828744489,OPEN,HIGH PRESSURE
540,51.46540542622702,28.160456416858214,11.060118467820727,HOLD,NORMAL
545,38.79847389457251,24.692035474844367,8.795194558744242,CLOSE,LOW PRESSURE
550,65.83473766243414,29.014723055023445,12.210971909036463,OPEN,HIGH PRESSURE
555,35.851699216479005,28.046683836779984,10.97601305463445,CLOSE,LOW PRESSURE
560,42.7404288234218,25.91248285773372,12.104897095531461,HOLD,NORMAL
565,43.539738465306485,29.34376314920621,14.248141768781524,HOLD,NORMAL
570,58.81872880528318,26.541117721308716,13.099983189823991,HOLD,NORMAL
575,43.653299375020275,24.04041303747258,10.507189784095662,CLOSE,LOW PRESSURE
580,62.746578795784714,29.170620215256015,12.652920325004049,OPEN,HIGH PRESSURE
585,30.844549625772615,26.949775681493065,10.145427856922737,CLOSE,LOW PRESSURE
590,48.17096985606447,28.534574150770414,13.431529337377581,HOLD,NORMAL
595,42.9834361004484,29.301476088965142,11.069466585436118,HOLD,NORMAL
600,51.637138219904664,28.347336984258362,9.382583346575453,HOLD,NORMAL
605,42.42338750717599,27.128398766997467,8.149407774905143,HOLD,NORMAL
610,34.23110516734646,25.706588249547714,10.398917212754755,CLOSE,LOW PRESSURE
615,30.778044245698414,23.296455034736667,8.740845589241884,CLOSE,LOW PRESSURE
620,40.22173688241084,25.941117971172286,11.886464347024923,HOLD,NORMAL
625,34.60153837077019,26.480208532900487,8.459182904256686,CLOSE,LOW PRESSURE
630,30.162858662000044,26.47315443120064,13.146720540437084,CLOSE,LOW PRESSURE
635,36.79341717798443,29.140972831542342,5.904031472448517,CLOSE,LOW PRESSURE
640,45.069204097100354,28.84583252880838,13.897691045649555,HOLD,NORMAL
645,63.35024931824622,30.23396733620685,16.091787853077033,OPEN,HIGH PRESSURE
650,53.0281642659298,30.542637164874414,10.785298319733492,HOLD,NORMAL
655,55.61063678723039,25.345785746349076,12.533967823175848,HOLD,NORMAL
660,73.6865809415273,29.52980955821761,13.895001220767416,OPEN,HIGH PRESSURE
665,50.602578105647225,28.518002220535735,10.587773657585567,HOLD,NORMAL
670,64.17680652205473,30.198267352745603,14.552096762079405,OPEN,HIGH PRESSURE
675,66.31593633208327,32.76760390794437,12.068402517911673,OPEN,HIGH PRESSURE
680,32.06343190601573,27.29082041971702,10.435857533065715,CLOSE,LOW PRESSURE
685,37.6130099109908,27.933640372753093,10.660674523748666,CLOSE,LOW PRESSURE
690,44.50623939977293,26.113639137130942,10.877249703473716,HOLD,NORMAL
695,52.572004124144975,27.237062899839447,8.508679047675656,HOLD,NORMAL
700,37.75849810099256,27.627276651878322,11.509324230329794,CLOSE,LOW PRESSURE
705,47.131471323405265,26.1394370005031,14.1346566094753,HOLD,NORMAL
710,63.59598012729207,28.568162028441172,14.726853494915108,OPEN,HIGH PRESSURE
715,51.52187880077814,26.010757945868644,13.869751119466436,HOLD,NORMAL
720,36.228725004481085,27.9022193434673,10.16658256145912,CLOSE,LOW PRESSURE
725,35.36977020315068,26.60644651460798,12.05535221081942,CLOSE,LOW PRESSURE
730,31.87709840981679,24.661016974690103,9.325989193568926,CLOSE,LOW PRESSURE
735,69.27482613899387,29.908643329011266,14.657441430317775,OPEN,HIGH PRESSURE
740,29.505082502407184,26.373639769323933,12.151973053767941,CLOSE,LOW PRESSURE
745,39.248202201872104,27.375302474149645,8.344164839317338,CLOSE,LOW PRESSURE
750,56.10911088540122,29.087580997292353,14.352665754623064,HOLD,NORMAL
755,37.97782194709422,26.205276775849736,9.852284864886876,CLOSE,LOW PRESSURE
760,69.34761139723867,27.873727547983336,16.22141771704294,OPEN,HIGH PRESSURE
765,60.06289071987204,28.332854735527544,13.933408161367506,OPEN,HIGH PRESSURE
770,64.51749665601706,28.376064848698473,14.776146796926652,OPEN,HIGH PRESSURE
775,28.75603614522438,27.328945475107805,6.856237950486884,CLOSE,LOW PRESSURE
780,36.21896963302642,25.047655795743694,8.731879382246095,CLOSE,LOW PRESSURE
785,49.9091342948539,28.384657339771145,12.461986453760353,HOLD,NORMAL
790,37.82797309090048,28.822851832162204,12.135067644475464,CLOSE,LOW PRESSURE
795,50.29320006709647,29.99681923434252,8.66348363665534,HOLD,NORMAL
800,53.77150001857782,27.319847332284642,15.89690401187825,HOLD,NORMAL
805,34.99196036855769,26.696316059846186,7.395491692248346,CLOSE,LOW PRESSURE
810,67.76320244955267,29.07851628646583,16.86808063704814,OPEN,HIGH PRESSURE
815,44.24098273865406,28.5416388370063,13.246837252078768,HOLD,NORMAL
820,47.01595484649097,27.702616428515903,11.356802107005793,HOLD,NORMAL
825,36.769104134388286,27.13827801771646,5.060841418760764,CLOSE,LOW PRESSURE
830,61.861848798556295,29.43479962705741,13.19400756989523,OPEN,HIGH PRESSURE
835,48.35067015444398,27.239140278219896,14.655095190780624,HOLD,NORMAL
840,52.13517149137277,24.81364501079352,9.430440885160538,HOLD,NORMAL
845,32.917246487119336,24.080028226625473,9.591039816774583,CLOSE,LOW PRESSURE
850,67.31849648069775,27.00899157445113,13.539612000959268,OPEN,HIGH PRESSURE
855,65.42830283044353,29.57009150768506,13.26799256225416,OPEN,HIGH PRESSURE
860,55.48208704472667,30.49563327854069,13.01382899417067,HOLD,NORMAL
865,42.20230654953267,27.36271162953775,11.813184059598,HOLD,NORMAL
870,56.8524564023865,29.911001542350167,12.8125667508218,HOLD,NORMAL
875,65.20761402313721,29.075791294439504,11.706235024401806,OPEN,HIGH PRESSURE
880,51.38933165058665,26.644718843017387,13.974773347993668,HOLD,NORMAL
885,55.14449972166911,28.280499683827095,14.25062231062498,HOLD,NORMAL
890,31.53793126280113,25.353638683989395,11.05212070149288,CLOSE,LOW PRESSURE
895,67.83097663505261,29.041860441350774,12.75374811645651,OPEN,HIGH PRESSURE
900,61.76262885739024,28.830165456299248,10.728046985225525,OPEN,HIGH PRESSURE
905,51.635256925870216,27.271298095924525,10.569489787793213,HOLD,NORMAL
910,46.88343862448306,29.431544110653263,12.744139416266037,HOLD,NORMAL
915,45.815660756119776,28.510648925959337,8.625285655715638,HOLD,NORMAL
920,60.64391289475249,28.72667080842274,14.82911519706181,OPEN,HIGH PRESSURE
925,55.92616779370394,28.33748568303878,9.250622304138956,HOLD,NORMAL
930,45.959929359265736,30.857987787048565,10.851107751525518,HOLD,NORMAL
935,41.247266097563326,26.780562665196655,7.649726458715392,CLOSE,LOW PRESSURE
940,55.63245170172056,26.71787112180669,13.510763441686139,HOLD,NORMAL
945,62.368798005473494,29.440611721884572,16.248465119045612,OPEN,HIGH PRESSURE
950,63.48599054466794,30.786593496727097,16.23501196459073,OPEN,HIGH PRESSURE
955,65.61039816244218,27.36929900720901,11.594492295121823,OPEN,HIGH PRESSURE
960,67.207735794783,28.649650948183407,14.978572601379506,OPEN,HIGH PRESSURE
965,63.850085649056645,28.75797025692422,12.271404007472825,OPEN,HIGH PRESSURE
970,63.45679450857201,27.333533024822323,12.45421292304071,OPEN,HIGH PRESSURE
975,36.697312312379374,28.16357267520181,12.602111103253533,CLOSE,LOW PRESSURE
980,52.49706696164153,27.653269202668533,13.461020143734633,HOLD,NORMAL
985,40.40021255699877,25.014153945841404,10.94417839707508,CLOSE,LOW PRESSURE
990,63.17795018345211,26.82733753081073,12.804951308847507,OPEN,HIGH PRESSURE
995,58.418120915108915,27.736868664002518,14.199682749137835,HOLD,NORMAL
1000,34.83998172573827,26.502050850293738,6.664973913716226,CLOSE,LOW PRESSURE
1005,34.58191865141003,27.74977595815047,10.031716772195026,CLOSE,LOW PRESSURE
1010,29.682342256246947,28.142421558943497,12.610984209973129,CLOSE,LOW PRESSURE
1015,65.0885636095877,28.68179624491866,13.49210217556616,OPEN,HIGH PRESSURE
1020,55.04234212379591,30.32684908739181,11.33549586079502,HOLD,NORMAL
1025,41.47371727511286,25.118671554708328,13.89051638803352,HOLD,NORMAL
1030,65.30621568604359,25.213534294124322,10.378748155027255,OPEN,HIGH PRESSURE
1035,44.38606487524226,26.5218627959183,9.561771892812654,HOLD,NORMAL
1040,57.265957695214844,29.11261142127057,11.688290053000735,HOLD,NORMAL
1045,61.69264288624986,28.39405020026277,12.928977972213099,HOLD,NORMAL
1050,62.57736794497688,30.07007547966639,10.609607889441488,OPEN,HIGH PRESSURE
1055,31.29269532237813,26.868607997668995,7.821824751496847,CLOSE,LOW PRESSURE
1060,49.54810514829755,29.037651877236176,14.851626785557684,HOLD,NORMAL
1065,35.99730285365801,27.361873853191412,6.971079278369765,CLOSE,LOW PRESSURE
1070,35.60427120334238,26.99880939720445,12.375823855433811,CLOSE,LOW PRESSURE
1075,47.02191108837667,27.354066846927577,12.664652589690382,HOLD,NORMAL
1080,44.4974185994292,28.766053464315352,11.615428901873987,HOLD,NORMAL
1085,64.03774166848918,25.712234710026806,13.670344382846787,OPEN,HIGH PRESSURE
1090,62.04515538452037,29.993921621813016,14.262670122193963,OPEN,HIGH PRESSURE
1095,32.51266364309413,24.07680720372204,6.410826533917408,CLOSE,LOW PRESSURE
1100,38.69386401502232,27.071965339186235,12.197444039124658,CLOSE,LOW PRESSURE
1105,54.550291913611744,27.969897924306963,11.550222767124222,HOLD,NORMAL
1110,34.77696124778254,28.09973245048009,9.994517679296486,CLOSE,LOW PRESSURE
1115,62.753716064923196,28.93680679493557,12.837394041832711,OPEN,HIGH PRESSURE
1120,58.24756128393879,26.215076805261898,8.356105010379004,HOLD,NORMAL
1125,67.84023499847581,29.025890719225274,12.162720675796557,OPEN,HIGH PRESSURE
1130,68.0118570863173,28.439334513255346,12.62463582511613,OPEN,HIGH PRESSURE
1135,31.432621438063343,25.562097871619923,8.93249114480372,CLOSE,LOW PRESSURE
1140,66.28725618800053,28.90486003359887,13.071072706408296,OPEN,HIGH PRESSURE
1145,48.4514943114862,28.48591271781536,14.120613254773389,HOLD,NORMAL
1150,32.51915735395764,24.503779571110552,7.947929844969947,CLOSE,LOW PRESSURE
1155,43.123726944409846,29.99196797094744,11.926059553090806,HOLD,NORMAL
1160,63.849082694243144,29.173397581320213,12.73419347421998,OPEN,HIGH PRESSURE
1165,30.575876708769954,25.744595078360245,12.914900401548772,CLOSE,LOW PRESSURE
1170,61.871204818056995,31.202460404619536,16.492442366171293,OPEN,HIGH PRESSURE
1175,39.9508347592509,26.8432904243072,5.421697777022684,CLOSE,LOW PRESSURE
1180,44.85368197614206,27.143785640111826,8.871550770185518,HOLD,NORMAL
1185,34.51538314303473,26.312701516474334,11.037686119792266,CLOSE,LOW PRESSURE
1190,64.54948190970886,31.078424033042474,15.387283942315802,OPEN,HIGH PRESSURE
1195,57.389527306774134,26.837090696870312,14.797999147878347,HOLD,NORMAL
1200,39.24752106694895,28.18087627258589,6.889782000384386,CLOSE,LOW PRESSURE
1205,40.26335123673671,25.61647005686977,10.177600312272586,CLOSE,LOW PRESSURE
1210,31.776703371414502,24.266724130554163,8.764693689717646,CLOSE,LOW PRESSURE
1215,63.348046526676846,28.71524246473258,13.525920519162488,OPEN,HIGH PRESSURE
1220,61.78953268408527,32.08644659238284,15.912244405651563,OPEN,HIGH PRESSURE
1225,67.06999235638642,30.216136439311416,13.825088135554124,OPEN,HIGH PRESSURE
1230,45.31583154846983,30.960339615257706,11.719661021611818,HOLD,NORMAL
1235,49.238892146876466,28.293341820258362,14.36444937040082,HOLD,NORMAL
1240,68.72244197283669,30.237334150523967,15.697823010008984,OPEN,HIGH PRESSURE
1245,53.40215377157247,28.253225039180318,12.042288349444803,HOLD,NORMAL
1250,49.956623451467564,27.144098620133125,12.292102974822038,HOLD,NORMAL
1255,63.62071519820357,30.09212772693669,14.185456484480872,OPEN,HIGH PRESSURE
1260,33.6752967840362,26.561789374654026,10.102217937062097,CLOSE,LOW PRESSURE
1265,68.64168278535394,30.030856157416107,12.298800467269112,OPEN,HIGH PRESSURE
1270,34.38505690304074,26.461687014545642,11.769562069603808,CLOSE,LOW PRESSURE
1275,61.5515069632257,29.20944473658043,13.59582703414687,OPEN,HIGH PRESSURE
1280,30.92087371547626,24.806394084484705,12.06371058671509,CLOSE,LOW PRESSURE
1285,33.3687003118441,26.76543904877598,13.0425246619091,CLOSE,LOW PRESSURE
1290,58.11201423566299,29.17925837198314,13.551808122178386,HOLD,NORMAL
1295,34.594604446875984,25.530852287656213,8.472420616252293,CLOSE,LOW PRESSURE
1300,66.44111621281398,29.022149224552862,16.17638588037334,OPEN,HIGH PRESSURE
1305,66.86678670060479,30.718527773937428,13.252314420931063,OPEN,HIGH PRESSURE
1310,66.80064111803311,29.563173848965114,15.57337117954697,OPEN,HIGH PRESSURE
1315,48.17847449434764,23.673744675574415,11.30747103411226,HOLD,NORMAL
1320,39.20401446942334,25.835221185567228,9.806357108729696,CLOSE,LOW PRESSURE
1325,61.34345103625896,27.86746758922057,10.045110449046712,OPEN,HIGH PRESSURE
1330,68.2287480792849,28.60818233638814,15.92014767126521,OPEN,HIGH PRESSURE
1335,34.11107474276476,26.303553182192672,9.776880982391088,CLOSE,LOW PRESSURE
1340,26.945950765873796,25.92165142180783,7.083767482777511,CLOSE,LOW PRESSURE
1345,37.25324990556711,24.191330975902346,9.421035252282172,CLOSE,LOW PRESSURE
1350,45.47336295231689,26.72485807481564,13.455542309256764,HOLD,NORMAL
1355,62.86569766827926,29.06927057566378,12.16177859955393,OPEN,HIGH PRESSURE
1360,48.96509994317407,31.60171261131236,9.12533138439665,HOLD,NORMAL
1365,63.401609312352036,29.323325722320995,12.964044505260851,OPEN,HIGH PRESSURE
1370,70.4066909326297,27.5094526913553,14.307618210037434,OPEN,HIGH PRESSURE
1375,35.26929981494273,29.043864275403788,12.070439976387389,CLOSE,LOW PRESSURE
1380,36.95701611122364,28.16486141431409,8.2102265677033,CLOSE,LOW PRESSURE
1385,37.52648230387746,27.6707472081401,12.3053257741874,HOLD,NORMAL
1390,68.5126091566199,29.542903582556296,12.406619973708668,OPEN,HIGH PRESSURE
1395,55.67441134744776,31.6664714504182,14.367692609047646,HOLD,NORMAL
1400,59.40119261689944,28.289533700586038,15.161839594191273,HOLD,NORMAL
1405,31.746976826666355,26.75360420744677,10.723804375118359,CLOSE,LOW PRESSURE
1410,41.2150245435455,27.726995875004473,6.523838407182299,HOLD,NORMAL
1415,66.91859600384292,28.395172276545004,15.00314286930725,OPEN,HIGH PRESSURE
1420,38.37409345215781,28.518352819674778,9.491853276071447,CLOSE,LOW PRESSURE
1425,56.14323081777708,31.25041501114503,12.2898275426831,HOLD,NORMAL
1430,32.86888923847002,27.074191025369032,8.67204857048857,CLOSE,LOW PRESSURE
1435,35.2219998514721,24.229042538166773,12.61293302980275,CLOSE,LOW PRESSURE
1440,35.057551214902546,25.624535266777535,9.611454935707823,CLOSE,LOW PRESSURE
1445,42.047551338785915,31.709863754134417,14.66658483335782,HOLD,NORMAL
1450,29.994999510537916,28.469932770989995,10.527666985171216,CLOSE,LOW PRESSURE
1455,32.692897940042066,27.87479656442081,11.153527971923067,CLOSE,LOW PRESSURE
1460,46.44413173600327,27.994462715129988,11.642128160454737,HOLD,NORMAL
1465,67.9948990881483,30.073232584457195,11.29000128586894,OPEN,HIGH PRESSURE
1470,36.323567306688304,25.316650351575035,10.465003996212406,CLOSE,LOW PRESSURE
1475,39.61587286157799,27.97005588473228,9.449184249432538,CLOSE,LOW PRESSURE
1480,66.15892066631024,29.949480491380605,11.304952363400341,OPEN,HIGH PRESSURE
1485,38.219967231360826,27.283139383160744,6.862830302183012,CLOSE,LOW PRESSURE
1490,40.77709677954583,31.50127267808581,13.659943719651404,HOLD,NORMAL
1495,65.63821528481796,31.198394362263503,18.229392592399357,OPEN,HIGH PRESSURE
1500,35.17583425496246,27.37642873388827,11.23436635894905,CLOSE,LOW PRESSURE
1505,57.09156592526414,28.10008327558607,17.657565035214215,HOLD,NORMAL
1510,69.11422469447609,26.649122507861495,16.58985496576983,OPEN,HIGH PRESSURE
1515,33.918240312423386,25.878952627561503,11.787257563004019,CLOSE,LOW PRESSURE
1520,47.25049562029946,27.5831893465407,12.884936802179274,HOLD,NORMAL
1525,62.479165878572054,30.554443121074122,14.094306970907846,OPEN,HIGH PRESSURE
1530,36.85164510647117,24.895811265056835,10.112522979283604,CLOSE,LOW PRESSURE
1535,40.04044241568772,30.03657349539915,11.138365589923122,CLOSE,LOW PRESSURE
1540,47.627523915642136,30.8553142157445,10.58293740872378,HOLD,NORMAL
1545,60.728197408087965,28.222224619437377,16.192474153383554,OPEN,HIGH PRESSURE
1550,59.15216083472866,26.693708302344703,10.461944007310757,HOLD,NORMAL
1555,40.61726909094888,28.99807291148106,12.71471111471273,HOLD,NORMAL
1560,31.099052988557332,27.93540520073795,7.080768613189672,CLOSE,LOW PRESSURE
1565,37.306690381963385,25.524755671376468,11.893040661087396,CLOSE,LOW PRESSURE
1570,32.878863903845634,25.498072404179826,10.275983363886178,CLOSE,LOW PRESSURE
1575,35.944353048782986,27.65387354604927,12.718088736153398,CLOSE,LOW PRESSURE
1580,56.9975672985692,22.88594184142764,8.710152121222334,HOLD,NORMAL
1585,61.276532215768775,28.432546728716023,13.495509978733542,OPEN,HIGH PRESSURE
1590,31.777885139992602,26.994530234138267,6.452422408607754,CLOSE,LOW PRESSURE
1595,47.37858625696728,25.708441602288346,14.087211791720234,HOLD,NORMAL
1600,69.14039884714393,33.20320134807339,16.89953726204669,OPEN,HIGH PRESSURE
1605,44.054528978203585,29.43342954329496,11.702589936510186,HOLD,NORMAL
1610,57.27144360352396,30.604113290595016,13.772908570793813,OPEN,HIGH PRESSURE
1615,65.25533105412889,29.696987755353913,13.849743876629221,OPEN,HIGH PRESSURE
1620,66.29689145628713,31.19420513222158,14.649407513236435,OPEN,HIGH PRESSURE
1625,65.90957546854045,28.285479212781965,13.326123458126625,OPEN,HIGH PRESSURE
1630,55.32155218662556,28.149768810805366,11.245815598637014,HOLD,NORMAL
1635,48.61364704978771,30.23709386003199,14.059265602011026,HOLD,NORMAL
1640,51.19059387936875,28.06539589536563,11.424180273202477,HOLD,NORMAL
1645,63.812897250246465,28.654394692214563,13.687752963973663,OPEN,HIGH PRESSURE
1650,42.914085224137644,27.850162229133407,10.308176867498297,HOLD,NORMAL
1655,30.554846493709213,25.39645161058457,8.71310556801351,CLOSE,LOW PRESSURE
1660,57.01733911945488,31.021905401185887,10.920111327260773,HOLD,NORMAL
1665,34.62933071171911,26.05965949456932,10.587930984812058,CLOSE,LOW PRESSURE
1670,36.61055664012355,26.836878703126732,7.17307929096855,CLOSE,LOW PRESSURE
1675,38.14207319418907,25.68887420079831,11.651622254694388,CLOSE,LOW PRESSURE
1680,66.33586870135504,28.287140625864843,15.806283839201079,OPEN,HIGH PRESSURE
1685,63.958116201328444,28.553344455154104,12.7377254031128,OPEN,HIGH PRESSURE
1690,61.51378564000344,29.311482361499003,13.588103305984223,OPEN,HIGH PRESSURE
1695,52.226046172738194,29.186555207031116,15.800467328109471,HOLD,NORMAL
1700,31.59469323502445,28.690210681224123,9.58301953534502,CLOSE,LOW PRESSURE
1705,33.71830928476227,27.434266818736535,14.233051010060368,CLOSE,LOW PRESSURE
